    1   0.000000           :: → ff02::1:ff94:36a1 ICMPv6 86 Neighbor Solicitation for fe80::fcf2:eaff:fe94:36a1
   49  39.280592     10.0.0.2 → 10.0.0.1     TCP 66 25904 → 58169 [ACK] Seq=1 Ack=4038 Win=35328 Len=0 TSval=1886573661 TSecr=1758595574
   50  39.286470     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=1 Win=72 Len=0 TSval=1886573667 TSecr=1758595558
   51  39.299985     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=16001 Win=67 Len=0 TSval=1886573681 TSecr=1758595594
   52  39.306072     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=5038 Win=34816 Len=0 TSval=1886573687 TSecr=1758595601
   53  39.315190     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=6038 Win=34304 Len=0 TSval=1886573696 TSecr=1758595611
   54  39.332253     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=2001 Win=69 Len=0 TSval=1886573713 TSecr=1758595583
   55  39.344804     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=20001 Win=67 Len=0 TSval=1886573726 TSecr=1758595592
   56  39.346464     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=24001 Win=67 Len=0 TSval=1886573728 TSecr=1758595642
   57  39.352944     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=6038 Win=34304 Len=0 TSval=1886573734 TSecr=1758595601
   58  39.357290     10.0.0.2 → 10.0.0.1     TCP 66 40783 → 32720 [ACK] Seq=1 Ack=6038 Win=34304 Len=0 TSval=1886573738 TSecr=1758595606
   59  39.358810     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=25001 Win=67 Len=0 TSval=1886573739 TSecr=1758595651
   60  39.359715     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=10038 Win=34304 Len=0 TSval=1886573741 TSecr=1758595654
   61  39.374182     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=5001 Win=67 Len=0 TSval=1886573755 TSecr=1758595629
   62  39.375643     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=9001 Win=67 Len=0 TSval=1886573757 TSecr=1758595671
   63  39.415077     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=21001 Win=67 Len=0 TSval=1886573796 TSecr=1758595663
   64  39.435746     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=10038 Win=34304 Len=0 TSval=1886573817 TSecr=1758595667
   65  39.451623     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=11038 Win=34304 Len=0 TSval=1886573832 TSecr=1758595668
   66  39.456465     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=12038 Win=34304 Len=0 TSval=1886573838 TSecr=1758595684
   67  39.467535     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=18038 Win=34304 Len=0 TSval=1886573849 TSecr=1758595763
   68  39.472843     10.0.0.2 → 10.0.0.1     TCP 66 25904 → 58169 [ACK] Seq=1 Ack=12038 Win=34304 Len=0 TSval=1886573854 TSecr=1758595687
   69  39.474392     10.0.0.2 → 10.0.0.1     TCP 66 25904 → 58169 [ACK] Seq=1 Ack=18038 Win=34304 Len=0 TSval=1886573855 TSecr=1758595770
   70  39.499778     10.0.0.2 → 10.0.0.1     TCP 66 40783 → 32720 [ACK] Seq=1 Ack=20038 Win=34304 Len=0 TSval=1886573881 TSecr=1758595788
   71  39.506531     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=25001 Win=67 Len=0 TSval=1886573886 TSecr=1758595714
   72  39.509573     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=30001 Win=67 Len=0 TSval=1886573891 TSecr=1758595729
   73  39.520022     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=37001 Win=67 Len=0 TSval=1886573901 TSecr=1758595811
   74  39.532159     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=22038 Win=34304 Len=0 TSval=1886573913 TSecr=1758595827
   75  39.554339     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=14001 Win=67 Len=0 TSval=1886573935 TSecr=1758595750
   76  39.574393     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=23001 Win=67 Len=0 TSval=1886573955 TSecr=1758595858
   77  39.577162     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=20038 Win=34304 Len=0 TSval=1886573956 TSecr=1758595790
   78  39.581777     10.0.0.2 → 10.0.0.1     TCP 66 40783 → 32720 [ACK] Seq=1 Ack=21038 Win=34304 Len=0 TSval=1886573961 TSecr=1758595801
   79  39.586177     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=26038 Win=34304 Len=0 TSval=1886573967 TSecr=1758595874
   80  39.598171     10.0.0.2 → 10.0.0.1     TCP 66 25904 → 58169 [ACK] Seq=1 Ack=26038 Win=34304 Len=0 TSval=1886573979 TSecr=1758595875
   81  39.607694     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=21038 Win=34304 Len=0 TSval=1886573989 TSecr=1758595823
