    1   0.000000           :: → ff02::1:ff00:1 ICMPv6 86 Neighbor Solicitation for fe80::201:aff:fe00:1
   51  38.904264     10.0.0.1 → 10.0.0.2     TCP 66 36467 → 59433 [ACK] Seq=159 Ack=3 Win=37888 Len=0 TSval=1758595285 TSecr=1886573320
   52  38.928730     10.0.0.1 → 10.0.0.2     TCP 183 39475 → 47452 [PSH, ACK] Seq=42 Ack=2 Win=37888 Len=117 TSval=1758595309 TSecr=1886573358
   53  38.931359     10.0.0.1 → 10.0.0.2     TCP 183 55655 → 6776 [PSH, ACK] Seq=42 Ack=2 Win=37888 Len=117 TSval=1758595312 TSecr=1886573358
   54  38.931680     10.0.0.1 → 10.0.0.2     TCP 183 51099 → 25904 [PSH, ACK] Seq=42 Ack=2 Win=37888 Len=117 TSval=1758595312 TSecr=1886573358
   55  38.931950     10.0.0.1 → 10.0.0.2     TCP 183 47085 → 46356 [PSH, ACK] Seq=42 Ack=2 Win=37888 Len=117 TSval=1758595313 TSecr=1886573358
   56  38.932874     10.0.0.1 → 10.0.0.2     TCP 183 58271 → 40783 [PSH, ACK] Seq=42 Ack=2 Win=37888 Len=117 TSval=1758595314 TSecr=1886573358
   57  38.935982     10.0.0.1 → 10.0.0.2     TCP 183 49189 → 42968 [PSH, ACK] Seq=42 Ack=2 Win=37888 Len=117 TSval=1758595317 TSecr=1886573358
   58  38.936400     10.0.0.1 → 10.0.0.2     TCP 66 42763 → 35722 [ACK] Seq=159 Ack=5 Win=37888 Len=0 TSval=1758595317 TSecr=1886573394
   59  38.936419     10.0.0.1 → 10.0.0.2     TCP 1066 19551 → 35722 [PSH, ACK] Seq=38 Ack=1 Win=37888 Len=1000 TSval=1758595317 TSecr=1886573328
   60  38.997935     10.0.0.1 → 10.0.0.2     TCP 74 53241 → 47452 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595379 TSecr=0 WS=512
   61  38.998841     10.0.0.1 → 10.0.0.2     TCP 66 36467 → 59433 [ACK] Seq=159 Ack=5 Win=37888 Len=0 TSval=1758595380 TSecr=1886573399
   62  38.999138     10.0.0.1 → 10.0.0.2     TCP 74 55246 → 6776 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595380 TSecr=0 WS=512
   63  38.999487     10.0.0.1 → 10.0.0.2     TCP 1066 48193 → 59433 [PSH, ACK] Seq=38 Ack=1 Win=37888 Len=1000 TSval=1758595380 TSecr=1886573395
   64  38.999881     10.0.0.1 → 10.0.0.2     TCP 74 58169 → 25904 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595381 TSecr=0 WS=512
   65  39.000437     10.0.0.1 → 10.0.0.2     TCP 74 54368 → 46356 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595381 TSecr=0 WS=512
   66  39.001016     10.0.0.1 → 10.0.0.2     TCP 74 32720 → 40783 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595382 TSecr=0 WS=512
   67  39.001192     10.0.0.1 → 10.0.0.2     TCP 74 55943 → 42968 [SYN] Seq=0 Win=37840 Len=0 MSS=9460 SACK_PERM TSval=1758595382 TSecr=0 WS=512
   68  39.004766     10.0.0.1 → 10.0.0.2     TCP 5066 19551 → 35722 [PSH, ACK] Seq=1038 Ack=1 Win=37888 Len=5000 TSval=1758595385 TSecr=1886573464
   69  39.018323     10.0.0.1 → 10.0.0.2     TCP 66 53241 → 47452 [ACK] Seq=1 Ack=1 Win=37888 Len=0 TSval=1758595399 TSecr=1886573468
   70  39.018336     10.0.0.1 → 10.0.0.2     TCP 103 53241 → 47452 [PSH, ACK] Seq=1 Ack=1 Win=37888 Len=37 TSval=1758595399 TSecr=1886573468
   71  39.018923     10.0.0.1 → 10.0.0.2     TCP 66 55246 → 6776 [ACK] Seq=1 Ack=1 Win=37888 Len=0 TSval=1758595400 TSecr=1886573470
   72  39.018932     10.0.0.1 → 10.0.0.2     TCP 103 55246 → 6776 [PSH, ACK] Seq=1 Ack=1 Win=37888 Len=37 TSval=1758595400 TSecr=1886573470
   73  39.028408     10.0.0.1 → 10.0.0.2     TCP 2066 48193 → 59433 [PSH, ACK] Seq=1038 Ack=1 Win=37888 Len=2000 TSval=1758595409 TSecr=1886573471
   74  39.028942     10.0.0.1 → 10.0.0.2     TCP 66 58169 → 25904 [ACK] Seq=1 Ack=1 Win=37888 Len=0 TSval=1758595410 TSecr=1886573472
   75  39.028958     10.0.0.1 → 10.0.0.2     TCP 103 58169 → 25904 [PSH, ACK] Seq=1 Ack=1 Win=37888 Len=37 TSval=1758595410 TSecr=1886573472
   76  39.029165     10.0.0.1 → 10.0.0.2     TCP 66 54368 → 46356 [ACK] Seq=1 Ack=1 Win=37888 Len=0 TSval=1758595410 TSecr=1886573473
   77  39.029173     10.0.0.1 → 10.0.0.2     TCP 103 54368 → 46356 [PSH, ACK] Seq=1 Ack=1 Win=37888 Len=37 TSval=1758595410 TSecr=1886573473
   78  39.036137     10.0.0.1 → 10.0.0.2     TCP 66 32720 → 40783 [ACK] Seq=1 Ack=1 Win=37888 Len=0 TSval=1758595417 TSecr=1886573482
   79  39.036150     10.0.0.1 → 10.0.0.2     TCP 103 32720 → 40783 [PSH, ACK] Seq=1 Ack=1 Win=37888 Len=37 TSval=1758595417 TSecr=1886573482
   80  39.036670     10.0.0.1 → 10.0.0.2     TCP 66 55943 → 42968 [ACK] Seq=1 Ack=1 Win=37888 Len=0 TSval=1758595417 TSecr=1886573483
